Plane Mirror_RN;Plane Mirror_RS;Plane Mirror_RO;Plane Mirror_OX;Plane Mirror_OY;Plane Mirror_OZ;Plane Mirror_DX;Plane Mirror_DY;Plane Mirror_DZ;Plane Mirror_EN;Plane Mirror_PL;Plane Mirror_S0;Plane Mirror_S1;Plane Mirror_S2;Plane Mirror_S3
0;2;1;-5.040981269;-1.113604577;17.64494874;-0.00153232;-0.002506001;0.999995686;100;16.96420757;1;0.999928;0.0119997;-6.76E-07
1;2;1;-1.680317212;-1.093616764;17.5899455;-0.001198993;-0.002504034;0.999996146;100;16.90457218;1;0.999928;0.0119997;-6.97E-07
2;2;1;1.680307459;-1.07362975;17.53494608;-0.000865666;-0.002502066;0.999996495;100;16.84605367;1;0.999928;0.0119997;-6.97E-07
3;2;1;5.040893491;-1.05364353;17.47995048;-0.000532338;-0.002500098;0.999996733;100;16.78865198;1;0.999928;0.0119997;-6.76E-07
4;2;1;-5.031486336;2.253244319;-1.338210254;-0.001534289;-0.002172675;0.999996463;100;-2.026772639;1;0.999928;0.0119997;-6.75E-07
5;2;1;-1.677152272;2.273174398;-1.392996645;-0.001200962;-0.002170707;0.999996923;100;-2.086182381;1;0.999928;0.0119997;-6.75E-07
6;2;1;1.677142556;2.293104055;-1.447781337;-0.000867634;-0.002168739;0.999997272;100;-2.144479498;1;0.999928;0.0119997;-6.75E-07
7;2;1;5.03139889;2.313033297;-1.502564344;-0.000534307;-0.002166771;0.99999751;100;-2.201664023;1;0.999928;0.0119997;-6.75E-07
8;2;1;-5.02202748;5.607300462;-20.24924042;-0.001536257;-0.001839348;0.999997128;100;-20.94448553;1;1;3.58E-14;-2.07E-08
9;2;1;-1.673999357;5.627173101;-20.30381121;-0.00120293;-0.00183738;0.999997588;100;-21.00367092;1;0.999928;0.0119997;-6.74E-07
10;2;1;1.673989678;5.647045694;-20.35838241;-0.000869603;-0.001835412;0.999997938;100;-21.0617479;1;0.999928;0.0119997;-6.94E-07
11;2;1;5.021940365;5.666918246;-20.41295403;-0.000536276;-0.001833444;0.999998175;100;-21.11871651;1;1;0;0
12;2;1;-5.012604494;8.948637369;-39.08855627;-0.001538226;-0.001506021;0.999997683;100;-39.78935207;1;0.999928;0.0119997;-6.72E-07
13;2;1;-1.670858399;8.96845286;-39.14291269;-0.001204899;-0.001504053;0.999998143;100;-39.84831439;1;1;3.60E-14;-2.08E-08
14;2;1;1.670848756;8.988268679;-39.19727162;-0.000871571;-0.001502085;0.999998492;100;-39.90617249;1;0.999928;0.0119997;-6.72E-07
15;2;1;5.012517707;9.008084828;-39.25163307;-0.000538244;-0.001500117;0.99999873;100;-39.96292641;1;0.999928;0.0119997;-6.93E-07
16;2;1;-5.040981269;-1.113604577;17.64494874;-0.00153232;-0.002506001;0.999995686;100;16.96420757;1;0.999928;0.0119997;-6.76E-07
17;2;1;-1.680317212;-1.093616764;17.5899455;-0.001198993;-0.002504034;0.999996146;100;16.90457218;1;0.999928;0.0119997;-6.97E-07
18;2;1;1.680307459;-1.07362975;17.53494608;-0.000865666;-0.002502066;0.999996495;100;16.84605367;1;0.999928;0.0119997;-6.97E-07
19;2;1;5.040893491;-1.05364353;17.47995048;-0.000532338;-0.002500098;0.999996733;100;16.78865198;1;0.999928;0.0119997;-6.76E-07
