sep=	
Point Source_RN	Point Source_RS	Point Source_RO	Point Source_OX	Point Source_OY	Point Source_OZ	Point Source_DX	Point Source_DY	Point Source_DZ	Point Source_EN	Point Source_PL	Point Source_S0	Point Source_S1	Point Source_S2	Point Source_S3
0	2	0	-0.0290718364286637	-0.00340386372233201	-0.0684974409258654	-0.000470335526422646	0.00044241284509375	0.999999791527662	100	0	1	1	0	0
1	2	0	-0.0161887239461358	-0.0155048699542319	0.117707241555219	0.00029057142576158	0.000450860365033905	0.999999856146579	100	0	1	1	0	0
2	2	0	-0.0251932546680862	-0.0131518318482903	-0.430327875616088	0.000447025046402996	-0.000153225060018007	0.999999888345338	100	0	1	1	0	0
3	2	0	0.0227957943448483	0.0168977440255183	0.111211987093103	9.87474880709608e-5	-0.000237145798277253	0.999999967005401	100	0	1	1	0	0
4	2	0	-0.030926748042174	0.0130692712261929	-0.175641195334536	0.000498018286485301	-0.000415158831754127	0.999999789810443	100	0	1	1	0	0
5	2	0	-0.0132084575493502	-0.0111391477805073	-0.335492642862566	0.000399077656312921	0.000239517066321017	0.999999891684294	100	0	1	1	0	0
6	2	0	-0.0197999750391459	-0.0156776004136419	-0.447328358683685	-0.000117380055225457	0.000310801225203435	0.999999944812259	100	0	1	1	0	0
7	2	0	0.0183603480759453	0.0169519784394884	0.200753986459217	0.000336965453067402	0.000341664011637352	0.999999884859987	100	0	1	1	0	0
8	2	0	-0.0280347478072683	0.00765430660196043	0.330267986061387	0.000132111732063814	-0.000364007829079259	0.999999925022392	100	0	1	1	0	0
9	2	0	0.0111227389664923	-0.00635954376966132	0.418272985640709	-0.000246404031155145	-0.000254428983109509	0.999999937275471	100	0	1	1	0	0
10	2	0	-0.0200646648816594	0.00327005212128039	-0.0217273528784399	-0.000174218067411522	0.000260151186639048	0.999999950984711	100	0	1	1	0	0
11	2	0	-0.0268686365926337	0.00471199601400177	-0.123143903393037	0.000173031534679532	0.000118955403432889	0.99999997795485	100	0	1	1	0	0
