Point Source_RN;Point Source_RS;Point Source_RO;Point Source_OX;Point Source_OY;Point Source_OZ;Point Source_DX;Point Source_DY;Point Source_DZ;Point Source_EN;Point Source_PL;Point Source_S0;Point Source_S1;Point Source_S2;Point Source_S3
0;2;0;-0.029071836428664;-0.003403863722332;-0.068497440925865;-0.000470335526423;0.000442412845094;0.999999791527662;100;0;1;1;0;0
1;2;0;-0.016188723946136;-0.015504869954232;0.117707241555219;0.000290571425762;0.000450860365034;0.999999856146579;100;0;1;1;0;0
2;2;0;-0.025193254668086;-0.013151831848290;-0.430327875616088;0.000447025046403;-0.000153225060018;0.999999888345338;100;0;1;1;0;0
3;2;0;0.022795794344848;0.016897744025518;0.111211987093103;0.000098747488071;-0.000237145798277;0.999999967005401;100;0;1;1;0;0
4;2;0;-0.030926748042174;0.013069271226193;-0.175641195334536;0.000498018286485;-0.000415158831754;0.999999789810443;100;0;1;1;0;0
5;2;0;-0.013208457549350;-0.011139147780507;-0.335492642862566;0.000399077656313;0.000239517066321;0.999999891684294;100;0;1;1;0;0
6;2;0;-0.019799975039146;-0.015677600413642;-0.447328358683685;-0.000117380055225;0.000310801225203;0.999999944812259;100;0;1;1;0;0
7;2;0;0.018360348075945;0.016951978439488;0.200753986459217;0.000336965453067;0.000341664011637;0.999999884859987;100;0;1;1;0;0
8;2;0;-0.028034747807268;0.007654306601960;0.330267986061387;0.000132111732064;-0.000364007829079;0.999999925022392;100;0;1;1;0;0
9;2;0;0.011122738966492;-0.006359543769661;0.418272985640709;-0.000246404031155;-0.000254428983110;0.999999937275471;100;0;1;1;0;0
10;2;0;-0.020064664881659;0.003270052121280;-0.021727352878440;-0.000174218067412;0.000260151186639;0.999999950984711;100;0;1;1;0;0
11;2;0;-0.026868636592634;0.004711996014002;-0.123143903393037;0.000173031534680;0.000118955403433;0.999999977954850;100;0;1;1;0;0
12;2;0;-0.004553981410353;-0.003652866488980;-0.222810152426211;-0.000021772444511;-0.000135078759814;0.999999990639845;100;0;1;1;0;0
13;2;0;0.028487194793888;0.018135739039393;0.443188999620146;-0.000087027546028;0.000366347102971;0.999999929108001;100;0;1;1;0;0
14;2;0;-0.009920128725110;-0.011937111184630;-0.266898895025550;-0.000049378248885;-0.000479278271377;0.999999883927057;100;0;1;1;0;0
15;2;0;0.021089507973795;0.008052772416808;-0.190465022022482;-0.000014667238050;0.000232810470541;0.999999972792078;100;0;1;1;0;0
16;2;0;0.002050691136835;0.012413385478288;0.120189517482251;0.000415496532921;0.000422378329546;0.999999824479573;100;0;1;1;0;0
17;2;0;-0.005695930456637;0.011897946555343;-0.358695870955765;0.000350208124707;0.000156292376716;0.999999926463479;100;0;1;1;0;0
18;2;0;0.015625288025495;-0.005434829777439;-0.091849053587690;-0.000456072790692;0.000268645814812;0.999999859913508;100;0;1;1;0;0
19;2;0;-0.003940751794634;-0.015566972965901;-0.499856593237551;-0.000280113432550;-0.000459122071459;0.999999855371684;100;0;1;1;0;0
20;2;0;-0.021367594393336;0.010871595884082;-0.281062951577762;0.000356062703089;0.000298141671380;0.999999892165442;100;0;1;1;0;0
21;2;0;0.002073267518962;-0.014421805633583;0.219370474154245;-0.000361466521868;0.000480392239819;0.999999819282609;100;0;1;1;0;0
22;2;0;0.020750348183992;0.014087473650334;-0.450334053036646;0.000194003962443;0.000356909869452;0.999999917488900;100;0;1;1;0;0
23;2;0;0.000572312867642;-0.016967710339229;0.328550126755199;-0.000225270560030;0.000252746190970;0.999999942686267;100;0;1;1;0;0
24;2;0;-0.029550787131600;0.006413138285281;-0.264150246480225;0.000127718932500;-0.000106518517202;0.999999986170840;100;0;1;1;0;0
25;2;0;-0.026275584316202;-0.019510493756919;-0.139377404113810;-0.000108323755740;0.000214475657696;0.999999971133078;100;0;1;1;0;0
26;2;0;-0.000183201624611;-0.017477302265481;0.318964165538221;0.000237365026615;0.000239578554770;0.999999943129979;100;0;1;1;0;0
27;2;0;0.005875040846606;-0.011151024037085;-0.235127230167582;-0.000238877270934;0.000138735842644;0.999999961845007;100;0;1;1;0;0
28;2;0;-0.003558360870433;0.016539852591481;-0.479410457552327;-0.000357801200783;-0.000428896931744;0.999999844012849;100;0;1;1;0;0
29;2;0;0.025674122932645;0.006975296324631;-0.213334482777877;0.000121525852380;-0.000297172128553;0.999999948460095;100;0;1;1;0;0
30;2;0;0.024398118252839;-0.007991344062205;-0.042262649917144;0.000222742167006;0.000456619521711;0.999999870942261;100;0;1;1;0;0
31;2;0;0.000433684311370;-0.004762872862050;0.092019637358375;-0.000347354796823;-0.000420520745236;0.999999851253463;100;0;1;1;0;0
32;2;0;-0.017605753747472;0.004014097041987;-0.359043764120126;-0.000453247770025;0.000241062766209;0.999999868227592;100;0;1;1;0;0
33;2;0;0.016700969076785;-0.003035153547661;0.048142294854093;0.000409854058711;0.000343579503640;0.999999856986377;100;0;1;1;0;0
34;2;0;-0.011031705081375;0.017157610072802;-0.248938079322232;0.000012332298984;0.000303237744295;0.999999953947391;100;0;1;1;0;0
35;2;0;0.002765881182613;-0.010888681982327;-0.114949542660127;-0.000438148483608;-0.000270510746777;0.999999867424912;100;0;1;1;0;0
36;2;0;-0.028929788416092;-0.018480647268971;-0.253185842481060;0.000073835359809;-0.000416962596266;0.999999910345262;100;0;1;1;0;0
37;2;0;-0.029579406330032;0.007349866775429;-0.167269600585340;-0.000005246238010;-0.000261215225511;0.999999965869541;100;0;1;1;0;0
38;2;0;-0.006583716916691;-0.001262003129252;-0.084429049560240;0.000214467192147;-0.000461891740695;0.999999870329913;100;0;1;1;0;0
39;2;0;0.007583541368684;0.004228623055311;0.415398775328245;0.000026535641717;-0.000226436673074;0.999999974011146;100;0;1;1;0;0
40;2;0;0.018848055291565;0.004078822144424;-0.331065065414662;-0.000093368900155;0.000233515940785;0.999999968376276;100;0;1;1;0;0
41;2;0;-0.018032515849839;-0.010157972104925;-0.008241009364866;0.000453700523880;0.000173918357637;0.999999881954113;100;0;1;1;0;0
42;2;0;0.008558376895886;0.013773533822068;-0.305622546291242;-0.000099073432483;0.000292721338610;0.999999952249335;100;0;1;1;0;0
43;2;0;-0.002288720072295;0.005804034859744;0.185135979698938;0.000159981888144;-0.000181555263767;0.999999970721740;100;0;1;1;0;0
44;2;0;-0.017242528223952;-0.000241754218754;-0.410420844562932;-0.000232397622916;-0.000308512578852;0.999999925405664;100;0;1;1;0;0
45;2;0;0.017124226704196;0.012666949551835;0.043796392823241;-0.000072382750893;-0.000207865816156;0.999999975776270;100;0;1;1;0;0
46;2;0;0.001465712130442;0.003231622383856;-0.207496978949465;-0.000274699968927;-0.000416820308124;0.999999875400371;100;0;1;1;0;0
47;2;0;-0.004995376506255;-0.003608175825180;-0.458163993366541;-0.000122544397608;0.000394090731742;0.999999914837679;100;0;1;1;0;0
48;2;0;-0.031035299754725;-0.018965761409310;0.109464878046193;-0.000009786089147;0.000214907815475;0.999999976859431;100;0;1;1;0;0
49;2;0;0.016284040914325;0.015491262150873;0.290318243731833;0.000222911546655;0.000043284013672;0.999999974218468;100;0;1;1;0;0
50;2;0;0.001732418956814;0.019843127931575;0.011668176431572;0.000239645407449;0.000008531748586;0.999999971248644;100;0;1;1;0;0
51;2;0;-0.012941958764229;-0.010839662585264;-0.179997677869867;0.000246699374268;-0.000212866134452;0.999999946913712;100;0;1;1;0;0
52;2;0;0.025020180783743;0.004320620013933;0.368147384534855;0.000268271194137;0.000497560653941;0.999999840231968;100;0;1;1;0;0
53;2;0;-0.029347395687435;-0.009922897435706;0.282417569893159;-0.000077322607770;0.000196470788037;0.999999977710222;100;0;1;1;0;0
54;2;0;-0.009196106907241;-0.004421375093543;-0.152102580807704;0.000361431054304;0.000087670655864;0.999999930840722;100;0;1;1;0;0
55;2;0;-0.023647489471181;-0.010953753427412;0.484000441557760;0.000369049013240;-0.000121996738186;0.999999924459808;100;0;1;1;0;0
56;2;0;0.010227955210230;-0.003824712195830;-0.223146493477258;-0.000450496368764;0.000350620731172;0.999999837059049;100;0;1;1;0;0
57;2;0;0.029907315307580;-0.004711449369462;-0.330734918676237;-0.000155766716153;0.000207857924077;0.999999966265906;100;0;1;1;0;0
58;2;0;0.018714241095270;-0.003524670364113;0.314899470391312;-0.000097369837531;-0.000379364073064;0.999999923301004;100;0;1;1;0;0
59;2;0;-0.000095098647438;0.010403607468038;0.447381708646861;-0.000077189737418;0.000453972487558;0.999999893975357;100;0;1;1;0;0
60;2;0;-0.022039157717951;0.002298041322664;0.426276576502981;0.000454522675627;-0.000161394668328;0.999999883680442;100;0;1;1;0;0
61;2;0;0.003458912211328;-0.012101142604205;0.074367965786165;-0.000478393902797;0.000092259149770;0.999999881313755;100;0;1;1;0;0
62;2;0;0.030962252448721;0.017310027208142;-0.228485678360957;0.000254603081559;-0.000302167601543;0.999999921936003;100;0;1;1;0;0
63;2;0;-0.029742561323742;0.017972657265012;0.328577717463323;-0.000455953490750;0.000214307327882;0.999999873089384;100;0;1;1;0;0
64;2;0;-0.029077487024279;0.019440544411735;-0.158677124046505;-0.000207868191489;0.000039442036835;0.999999977617570;100;0;1;1;0;0
65;2;0;-0.021340886867490;0.006996847272384;-0.036079580955057;-0.000479939772757;-0.000111079974801;0.999999878659519;100;0;1;1;0;0
66;2;0;-0.016658115090911;0.002563831361630;0.149887111449148;-0.000452447484250;-0.000073486963333;0.999999894945465;100;0;1;1;0;0
67;2;0;-0.023687437995162;0.019582632539695;-0.292428138412537;-0.000166906296957;0.000194966921023;0.999999967065093;100;0;1;1;0;0
68;2;0;0.007791250651495;-0.012774104394197;-0.066628880571840;-0.000158538916924;-0.000436512581353;0.999999892161083;100;0;1;1;0;0
69;2;0;0.027512153426296;-0.000735143165897;-0.143107550278723;0.000163931412132;0.000386257276282;0.999999911965900;100;0;1;1;0;0
70;2;0;-0.004246011488754;0.008012992816586;-0.472747546351293;0.000209191886964;0.000133999295868;0.999999969141471;100;0;1;1;0;0
71;2;0;0.006858419215896;0.011341041804703;-0.068110280350861;0.000011402017698;0.000083909961739;0.999999996414556;100;0;1;1;0;0
72;2;0;-0.032065300584606;0.000581368543837;-0.273144329043193;0.000381086756727;-0.000084918275647;0.999999923780882;100;0;1;1;0;0
73;2;0;-0.027232687124757;-0.008749301512033;-0.082941164202082;0.000468750213627;-0.000017338330306;0.999999889986304;100;0;1;1;0;0
74;2;0;0.010501192260071;-0.005635861753001;0.338012860486473;0.000017318572939;-0.000367312856139;0.999999932390664;100;0;1;1;0;0
75;2;0;-0.029788118366391;-0.013916574083130;-0.256300536740581;-0.000385715409012;-0.000372321242861;0.999999856300247;100;0;1;1;0;0
76;2;0;-0.029446823117009;-0.016157664215303;-0.192780940400499;-0.000285547552813;0.000183440597033;0.999999942406070;100;0;1;1;0;0
77;2;0;-0.030902371556343;-0.019815345911357;0.364731179012340;-0.000450904663354;-0.000472312842042;0.999999786802759;100;0;1;1;0;0
78;2;0;0.029476290281968;0.012354499584522;0.235195520121653;0.000247430338157;0.000302428584010;0.999999923657587;100;0;1;1;0;0
79;2;0;0.012981513651846;0.016197727054272;-0.048993847974336;0.000208807878578;-0.000092382348247;0.999999973932385;100;0;1;1;0;0
80;2;0;0.024112647689251;-0.007872621278239;-0.416601081188450;0.000088614380699;0.000120871177057;0.999999988768825;100;0;1;1;0;0
81;2;0;-0.030327720686258;0.009208036106204;0.392365409403432;-0.000462371357102;-0.000193689879058;0.999999874348471;100;0;1;1;0;0
82;2;0;0.000263581384480;0.006504901661838;-0.220233377133266;-0.000469296785636;-0.000399423694012;0.999999810110602;100;0;1;1;0;0
83;2;0;0.020991671757720;-0.012904624778777;-0.499718875534920;0.000396230724446;0.000151473030957;0.999999910028563;100;0;1;1;0;0
84;2;0;-0.012172673636920;0.008616393244189;-0.408617743928056;-0.000363428857091;-0.000106389780171;0.999999928300338;100;0;1;1;0;0
85;2;0;0.015974504732344;-0.014317247370263;-0.219378867027471;0.000013432531220;0.000496461160776;0.999999876672934;100;0;1;1;0;0
86;2;0;0.000445413736424;0.011154801903293;-0.293279218470969;0.000291673006514;0.000490102713993;0.999999837363080;100;0;1;1;0;0
87;2;0;-0.009607106691296;-0.001921473592363;0.389928337633403;-0.000339574903973;0.000356984903401;0.999999878625324;100;0;1;1;0;0
88;2;0;0.031759987107681;-0.018402956868685;0.161979988299400;0.000437495752867;-0.000112369308450;0.999999897985297;100;0;1;1;0;0
89;2;0;-0.006483037839101;0.001185015179774;-0.132210460398720;-0.000211061900482;-0.000014998901028;0.999999977613953;100;0;1;1;0;0
90;2;0;0.031004125127204;-0.007521561248691;0.449738838533689;0.000122209955959;-0.000372650005496;0.999999923098347;100;0;1;1;0;0
91;2;0;-0.017210709995142;-0.017094405302773;-0.271309903693738;-0.000133769591637;0.000487308618891;0.999999872317995;100;0;1;1;0;0
92;2;0;0.013258202561830;0.008271254515353;0.270839485806393;0.000149268261642;0.000147294192768;0.999999978011703;100;0;1;1;0;0
93;2;0;-0.021284733776930;0.003072883505201;0.076622466334660;-0.000213077163126;0.000059702276764;0.999999975516880;100;0;1;1;0;0
94;2;0;-0.007281738929448;0.005298859957399;0.422216843555506;0.000114978768081;0.000330871704895;0.999999938651897;100;0;1;1;0;0
95;2;0;-0.021646584412327;0.019219953267174;0.443386280827745;-0.000196520980754;-0.000424300130080;0.999999890674446;100;0;1;1;0;0
96;2;0;-0.011785491584844;-0.011990634814688;0.476515581484119;-0.000354515451439;0.000070239430211;0.999999934692606;100;0;1;1;0;0
97;2;0;0.004023544068134;-0.013466610275386;0.312305108784609;-0.000450680489639;0.000423539762629;0.999999808750565;100;0;1;1;0;0
98;2;0;0.010180280037818;-0.003106184603358;-0.118483113249085;0.000341800993214;0.000341667275812;0.999999883217770;100;0;1;1;0;0
99;2;0;0.024506230472187;-0.010308867460027;-0.062764485690186;-0.000418633083784;-0.000439082629278;0.999999815976376;100;0;1;1;0;0
100;2;0;-0.025203386340040;-0.006365896033052;-0.139809117561495;-0.000434975797398;0.000102022720889;0.999999900193705;100;0;1;1;0;0
101;2;0;0.026120259701991;-0.009768254952086;-0.207609499509428;0.000016900637579;0.000348392323965;0.999999939168577;100;0;1;1;0;0
102;2;0;-0.007731549055338;-0.012522942763394;0.261238619328517;-0.000275658736282;0.000190612297280;0.999999943839605;100;0;1;1;0;0
103;2;0;0.015945168251622;0.013190162163219;-0.012983864479317;-0.000354791053504;0.000451057003259;0.999999835335431;100;0;1;1;0;0
104;2;0;0.012024166716389;0.000756909352551;-0.333470435856270;-0.000190033273926;-0.000112912318477;0.999999975569081;100;0;1;1;0;0
105;2;0;0.011799583142455;-0.013956907471689;0.025015628855334;0.000375124113876;-0.000404115010331;0.999999847986467;100;0;1;1;0;0
106;2;0;0.000856443400157;-0.000192181633617;-0.407646533556926;-0.000387896880764;-0.000363486264743;0.999999858706863;100;0;1;1;0;0
107;2;0;0.019538074164821;0.018998440553450;-0.354812582528057;-0.000041156642438;0.000014298761424;0.999999999050838;100;0;1;1;0;0
108;2;0;-0.019764624242464;0.006182400584571;0.407058069363601;0.000109008299633;0.000154187847659;0.999999982171649;100;0;1;1;0;0
109;2;0;-0.010892923815340;0.011071248788627;0.020146730121281;-0.000181722152770;-0.000452157238979;0.999999881265438;100;0;1;1;0;0
110;2;0;-0.020824708581934;0.010524969199463;0.051690960568475;-0.000220297550307;0.000345588043017;0.999999916018943;100;0;1;1;0;0
111;2;0;-0.029665643036704;0.013931147188933;-0.246331503944949;-0.000007322639726;0.000495483286340;0.999999877221338;100;0;1;1;0;0
112;2;0;0.016747199456357;-0.014586837629059;-0.207227527112593;0.000465616602647;-0.000153541786064;0.999999879813043;100;0;1;1;0;0
113;2;0;0.027772583136456;-0.014484509028616;-0.329089838212138;0.000051855468506;0.000354195944826;0.999999935928120;100;0;1;1;0;0
114;2;0;-0.004318129040686;-0.010852713707185;-0.044917307370066;0.000317168020301;-0.000098250698494;0.999999944875622;100;0;1;1;0;0
115;2;0;0.021266417874970;-0.005459820850201;0.378024322061257;-0.000013939446667;-0.000430667623166;0.999999907165541;100;0;1;1;0;0
116;2;0;-0.006358494876963;0.011296664668896;0.208126915123880;-0.000290344484349;-0.000415199030426;0.999999871654915;100;0;1;1;0;0
117;2;0;-0.022111490911897;-0.018040750206265;0.155566086296846;-0.000446049714208;0.000213309714627;0.999999877769302;100;0;1;1;0;0
118;2;0;-0.027933646655078;0.006395713753297;0.012173048122695;0.000360377151707;-0.000348832198235;0.999999874222195;100;0;1;1;0;0
119;2;0;0.015222281796421;-0.008641678994272;0.030641362629839;-0.000296457674800;-0.000053972764740;0.999999954599893;100;0;1;1;0;0
120;2;0;0.028557190494221;-0.018393839965627;-0.492459445716363;0.000499199737506;-0.000005717312470;0.999999875383459;100;0;1;1;0;0
121;2;0;0.009121316746111;0.008579537388667;-0.322972577949938;-0.000459678388147;-0.000245023721238;0.999999864329569;100;0;1;1;0;0
122;2;0;0.021166206723298;0.015775440421145;-0.317031218840359;-0.000067021425728;0.000441130289404;0.999999900456093;100;0;1;1;0;0
123;2;0;0.001292394062460;-0.002542124265751;-0.315666573156575;0.000124596102045;-0.000380029668649;0.999999920026628;100;0;1;1;0;0
124;2;0;-0.025118781714924;0.000455481063798;-0.443465121753659;0.000036764193596;0.000338616167480;0.999999941993741;100;0;1;1;0;0
125;2;0;-0.015108590055855;-0.017634411042390;-0.382614490291222;0.000413451691535;0.000432352348090;0.999999821064557;100;0;1;1;0;0
126;2;0;0.017581957360749;0.007611485902980;-0.230086820225415;0.000466525451551;-0.000140824018052;0.999999881261292;100;0;1;1;0;0
127;2;0;0.030841269876190;0.012344788657485;0.101900406415330;-0.000043983112710;-0.000058924555061;0.999999997296691;100;0;1;1;0;0
128;2;0;-0.007959882727583;-0.016912784694958;0.250986440358665;-0.000329070880185;0.000421042801593;0.999999857217647;100;0;1;1;0;0
129;2;0;0.014418451422854;0.011029596211204;-0.044630664470132;-0.000191742040566;-0.000306282178534;0.999999934713106;100;0;1;1;0;0
130;2;0;-0.030760909484029;0.004584652312958;-0.087321437050844;-0.000488886942226;0.000206016763210;0.999999859273316;100;0;1;1;0;0
