sep=	
Point Source_RN	Point Source_RS	Point Source_RO	Point Source_OX	Point Source_OY	Point Source_OZ	Point Source_DX	Point Source_DY	Point Source_DZ	Point Source_EN	Point Source_PL	Point Source_S0	Point Source_S1	Point Source_S2	Point Source_S3
0	2	0	-0.117690120566229	0.0240349761369486	0.387666360206607	-0.000578153977763664	-0.00015906208612352	0.999999820218599	100	0	1	1	0	0
1	2	0	-5.141707097577e-5	0.0736374010888914	-0.462993836332932	0.00164805466344877	0.000562430527289018	0.999998483792715	100	0	1	1	0	0
2	2	0	-0.0022860083542457	0.0884116588035116	-0.446765819359578	0.000412122835416966	-0.00216224868372253	0.999997577414765	100	0	1	1	0	0
3	2	0	0.0428937310876551	-0.00742935008032831	0.381133132549482	-0.000368564151703688	0.000393695822517904	0.999999854582022	100	0	1	1	0	0
4	2	0	0.0119608451532732	0.0391463225340735	-0.0725410134422969	-0.000647008066416782	0.000279270751162255	0.999999751694174	100	0	1	1	0	0
5	2	0	0.0659278447115864	-0.0717690752370016	-0.457032855725614	0.000299230635505277	-0.00119710836670718	0.999999238696003	100	0	1	1	0	0
6	2	0	0.117895927263832	0.0657403714116602	0.213457940551743	7.7041388806981e-5	0.00168052368838577	0.999998584951377	100	0	1	1	0	0
7	2	0	-0.119548473519019	0.0484003468501874	0.385451540087509	-3.10277971652921e-5	0.00176105712898018	0.999998448856329	100	0	1	1	0	0
8	2	0	0.0207486702458863	-0.0361751848897178	-0.049690806562308	4.58553661970667e-5	0.000538843546692313	0.999999853772448	100	0	1	1	0	0
9	2	0	0.0244640860217758	0.0158648567403737	0.0911841386455441	-0.00198149109079118	0.000685058272940584	0.999997802191695	100	0	1	1	0	0
10	2	0	0.0256990624845059	0.0443856246928246	-0.481519546483394	0.000866650055506736	0.000969733874203852	0.99999915426659	100	0	1	1	0	0
11	2	0	0.0124775217718144	-0.00110568610924818	-0.0484295297628767	0.00146268716575203	0.000848202892040422	0.999998570548033	100	0	1	1	0	0
12	2	0	-0.173948736642625	0.0770403239859376	-0.0187667563576929	0.000150111639777315	-0.00102195982756338	0.999999466532161	100	0	1	1	0	0
13	2	0	-0.0324678675221872	0.0400867160477046	0.0898228500292783	0.000254832640051656	-6.98111545817943e-5	0.999999965093364	100	0	1	1	0	0
14	2	0	-0.0049158062745312	-0.0533286862476128	-0.287390676512794	-0.000314669134257646	-0.00119617654556591	0.999999235072211	100	0	1	1	0	0
15	2	0	0.0508371739882542	-0.0651089415313691	0.247457106207259	-0.00259958630000256	-0.000395774743198157	0.999996542750734	100	0	1	1	0	0
16	2	0	-0.124119785110083	0.0343793028320032	-0.133866570823733	-0.000262874363167587	-0.00190591299468392	0.99999814919465	100	0	1	1	0	0
17	2	0	0.0784073273613416	-0.00331238472184785	0.300253892878856	0.000965500889075118	-2.79677513921565e-5	0.99999953351281	100	0	1	1	0	0
18	2	0	-0.0325237316253947	-0.0346475920045377	-0.138623984463378	0.00164854796100056	0.000665692998479358	0.999998419569977	100	0	1	1	0	0
19	2	0	0.0451202055113271	-0.0180383421122952	0.123287499262466	0.000156278701469735	-0.000194385387581245	0.999999968895644	100	0	1	1	0	0
20	2	0	-0.0175735045174123	-0.00717406631147958	0.0163799178563755	-0.000670461014234669	0.000543046393249004	0.999999627791252	100	0	1	1	0	0
21	2	0	-0.137813953813741	0.00876154493411971	-0.484503197422232	0.000682877178357705	0.000826221887106528	0.999999425517911	100	0	1	1	0	0
22	2	0	-0.0443991705866893	-0.0314629999783205	-0.236997482942259	-0.000542555609902761	0.000301944900151512	0.999999807231325	100	0	1	1	0	0
23	2	0	0.00521257779811839	-0.0217312223071015	0.177849852702508	-0.000160312912402712	0.000479217090142995	0.999999872325367	100	0	1	1	0	0
24	2	0	0.000555767193593333	-0.029144556525178	-0.386618645683896	-0.0005907469137269	0.00038172099471759	0.999999752653553	100	0	1	1	0	0
25	2	0	-0.0481911614870799	-0.0220613778921675	0.0398243527281215	-0.00147144816805259	0.000169463965404971	0.999998903060525	100	0	1	1	0	0
26	2	0	-0.0229945537114537	-0.0266704222948979	-0.341994523957118	-0.00124939466648464	-1.70320743073444e-5	0.999999219361133	100	0	1	1	0	0
27	2	0	0.0262110752791504	0.0713185999793785	0.145128316519061	-0.000543664606343599	-0.00219822138179138	0.999997436122489	100	0	1	1	0	0
28	2	0	-0.0708710907040626	-0.0174871300928066	-0.0751866669904828	-0.000640399740791437	-0.000499843588607454	0.999999670022225	100	0	1	1	0	0
29	2	0	0.0631526365073165	-0.0120379569821203	-0.359011726370371	0.00187351134439513	0.000557823940300038	0.999998089392022	100	0	1	1	0	0
