Point Source_RN;Point Source_RS;Point Source_RO;Point Source_OX;Point Source_OY;Point Source_OZ;Point Source_DX;Point Source_DY;Point Source_DZ;Point Source_EN;Point Source_PL;Point Source_S0;Point Source_S1;Point Source_S2;Point Source_S3
0;2;0;-0.11769012056622900;0.02403497613694860;0.38766636020660700;-0.00057815397776366;-0.00015906208612352;0.99999982021859900;100;0;1;1;0;0
1;2;0;-0.00005141707097577;0.07363740108889140;-0.46299383633293200;0.00164805466344877;0.00056243052728902;0.99999848379271500;100;0;1;1;0;0
2;2;0;-0.00228600835424570;0.08841165880351160;-0.44676581935957800;0.00041212283541697;-0.00216224868372253;0.99999757741476500;100;0;1;1;0;0
3;2;0;0.04289373108765510;-0.00742935008032831;0.38113313254948200;-0.00036856415170369;0.00039369582251790;0.99999985458202200;100;0;1;1;0;0
4;2;0;0.01196084515327320;0.03914632253407350;-0.07254101344229690;-0.00064700806641678;0.00027927075116226;0.99999975169417400;100;0;1;1;0;0
5;2;0;0.06592784471158640;-0.07176907523700160;-0.45703285572561400;0.00029923063550528;-0.00119710836670718;0.99999923869600300;100;0;1;1;0;0
6;2;0;0.11789592726383200;0.06574037141166020;0.21345794055174300;0.00007704138880698;0.00168052368838577;0.99999858495137700;100;0;1;1;0;0
7;2;0;-0.11954847351901900;0.04840034685018740;0.38545154008750900;-0.00003102779716529;0.00176105712898018;0.99999844885632900;100;0;1;1;0;0
8;2;0;0.02074867024588630;-0.03617518488971780;-0.04969080656230800;0.00004585536619707;0.00053884354669231;0.99999985377244800;100;0;1;1;0;0
9;2;0;0.02446408602177580;0.01586485674037370;0.09118413864554410;-0.00198149109079118;0.00068505827294058;0.99999780219169500;100;0;1;1;0;0
10;2;0;0.02569906248450590;0.04438562469282460;-0.48151954648339400;0.00086665005550674;0.00096973387420385;0.99999915426659000;100;0;1;1;0;0
11;2;0;0.01247752177181440;-0.00110568610924818;-0.04842952976287670;0.00146268716575203;0.00084820289204042;0.99999857054803300;100;0;1;1;0;0
12;2;0;-0.17394873664262500;0.07704032398593760;-0.01876675635769290;0.00015011163977732;-0.00102195982756338;0.99999946653216100;100;0;1;1;0;0
13;2;0;-0.03246786752218720;0.04008671604770460;0.08982285002927830;0.00025483264005166;-0.00006981115458179;0.99999996509336400;100;0;1;1;0;0
14;2;0;-0.00491580627453120;-0.05332868624761280;-0.28739067651279400;-0.00031466913425765;-0.00119617654556591;0.99999923507221100;100;0;1;1;0;0
15;2;0;0.05083717398825420;-0.06510894153136910;0.24745710620725900;-0.00259958630000256;-0.00039577474319816;0.99999654275073400;100;0;1;1;0;0
16;2;0;-0.12411978511008300;0.03437930283200320;-0.13386657082373300;-0.00026287436316759;-0.00190591299468392;0.99999814919465000;100;0;1;1;0;0
17;2;0;0.07840732736134160;-0.00331238472184785;0.30025389287885600;0.00096550088907512;-0.00002796775139216;0.99999953351281000;100;0;1;1;0;0
18;2;0;-0.03252373162539470;-0.03464759200453770;-0.13862398446337800;0.00164854796100056;0.00066569299847936;0.99999841956997700;100;0;1;1;0;0
19;2;0;0.04512020551132710;-0.01803834211229520;0.12328749926246600;0.00015627870146974;-0.00019438538758125;0.99999996889564400;100;0;1;1;0;0
20;2;0;-0.01757350451741230;-0.00717406631147958;0.01637991785637550;-0.00067046101423467;0.00054304639324900;0.99999962779125200;100;0;1;1;0;0
21;2;0;-0.13781395381374100;0.00876154493411971;-0.48450319742223200;0.00068287717835771;0.00082622188710653;0.99999942551791100;100;0;1;1;0;0
22;2;0;-0.04439917058668930;-0.03146299997832050;-0.23699748294225900;-0.00054255560990276;0.00030194490015151;0.99999980723132500;100;0;1;1;0;0
23;2;0;0.00521257779811839;-0.02173122230710150;0.17784985270250800;-0.00016031291240271;0.00047921709014300;0.99999987232536700;100;0;1;1;0;0
24;2;0;0.00055576719359333;-0.02914455652517800;-0.38661864568389600;-0.00059074691372690;0.00038172099471759;0.99999975265355300;100;0;1;1;0;0
25;2;0;-0.04819116148707990;-0.02206137789216750;0.03982435272812150;-0.00147144816805259;0.00016946396540497;0.99999890306052500;100;0;1;1;0;0
26;2;0;-0.02299455371145370;-0.02667042229489790;-0.34199452395711800;-0.00124939466648464;-0.00001703207430734;0.99999921936113300;100;0;1;1;0;0
27;2;0;0.02621107527915040;0.07131859997937850;0.14512831651906100;-0.00054366460634360;-0.00219822138179138;0.99999743612248900;100;0;1;1;0;0
28;2;0;-0.07087109070406260;-0.01748713009280660;-0.07518666699048280;-0.00064039974079144;-0.00049984358860745;0.99999967002222500;100;0;1;1;0;0
29;2;0;0.06315263650731650;-0.01203795698212030;-0.35901172637037100;0.00187351134439513;0.00055782394030004;0.99999808939202200;100;0;1;1;0;0
30;2;0;-0.07446594568662480;-0.01914034512686410;0.32808102722484100;-0.00016991414539552;-0.00077765320705992;0.99999968319228600;100;0;1;1;0;0
31;2;0;-0.05594972213721900;-0.08020231498818370;-0.40117662641373300;-0.00060655164755818;0.00141673964786559;0.99999881247122900;100;0;1;1;0;0
