Sphere_RN;Sphere_RS;Sphere_RO;Sphere_OX;Sphere_OY;Sphere_OZ;Sphere_DX;Sphere_DY;Sphere_DZ;Sphere_EN;Sphere_PL;Sphere_S0;Sphere_S1;Sphere_S2;Sphere_S3
0;2;1;-5.046546303;-4.915082069;28.10569339;-0.000330499;0.004950402;0.999987692;100;28.09427677;1;1;0;0
1;2;1;-1.682183001;-4.917181326;28.1114684;-0.000110166;0.004951207;0.999987737;100;28.09930727;1;1;0;0
2;2;1;1.682183001;-4.917181326;28.1114684;0.000110166;0.004951207;0.999987737;100;28.09930727;1;1;0;0
3;2;1;5.046546303;-4.915082069;28.10569339;0.000330499;0.004950402;0.999987692;100;28.09427677;1;1;0;0
4;2;1;-5.037196025;-1.650624033;9.393144565;-0.000332216;0.001655431;0.999998575;100;9.392605495;1;1;0;0
5;2;1;-1.679066247;-1.6527353;9.39894769;-0.000110738;0.001656243;0.999998622;100;9.397668591;1;1;0;0
6;2;1;1.679066247;-1.6527353;9.39894769;0.000110738;0.001656243;0.999998622;100;9.397668591;1;1;0;0
7;2;1;5.037196025;-1.650624033;9.393144565;0.000332216;0.001655431;0.999998575;100;9.392605495;1;1;0;0
8;2;1;-5.027781611;1.669440953;-9.435668325;-0.000333941;-0.001663266;0.999998561;100;-9.436222753;1;1;0;0
9;2;1;-1.675928115;1.667317374;-9.429836322;-0.000111314;-0.001662449;0.999998612;100;-9.431126218;1;1;0;0
10;2;1;1.675928115;1.667317374;-9.429836322;0.000111314;-0.001662449;0.999998612;100;-9.431126218;1;1;0;0
11;2;1;5.027781611;1.669440953;-9.435668325;0.000333941;-0.001663266;0.999998561;100;-9.436222753;1;1;0;0
12;2;1;-5.018301445;5.046340474;-28.38374044;-0.000335675;-0.00500627;0.999987412;100;-28.39544863;1;1;0;0
13;2;1;-1.672768065;5.044204266;-28.37787876;-0.000111892;-0.005005447;0.999987466;100;-28.39031778;1;1;0;0
14;2;1;1.672768065;5.044204266;-28.37787876;0.000111892;-0.005005447;0.999987466;100;-28.39031778;1;1;0;0
15;2;1;5.018301445;5.046340474;-28.38374044;0.000335675;-0.00500627;0.999987412;100;-28.39544863;1;1;0;0
16;2;1;-5.046546303;-4.915082069;28.10569339;-0.000330499;0.004950402;0.999987692;100;28.09427677;1;1;0;0
17;2;1;-1.682183001;-4.917181326;28.1114684;-0.000110166;0.004951207;0.999987737;100;28.09930727;1;1;0;0
18;2;1;1.682183001;-4.917181326;28.1114684;0.000110166;0.004951207;0.999987737;100;28.09930727;1;1;0;0
19;2;1;5.046546303;-4.915082069;28.10569339;0.000330499;0.004950402;0.999987692;100;28.09427677;1;1;0;0
